,,,,,,
S.No.,Sentence,Sentiment Marked Sentence,Sentence Sentiment,Analyser ,Score,Observations
,,,,,,
1,@LOVELESS101 oh you can? sweeeeeet.,@LOVELESS101 oh you can? <p>sweeeeeet</p>.,positive,negative,0.75579083,Speaker expresses positive excitement by using the word sweet as sweeeeeet. Since the spelling is incorrect the analyser fails in recognising the positive word sweet and in the absence of a positive words reports the sentence as negative. Analyser has not accounted in the various versions of writing the word sweet.
2,@TruckerDesiree Thank you very much for helping spread the word about trucker pet transport.And for telling landline mag too. *Yay*,@TruckerDesiree <p>Thank</p> you very much for helping spread the word about trucker pet transport.And for telling landline mag too. *<p>Yay</p>*,positive,positive,0.978960752,Speaker expresses positive sentiments by using thank and the word yay to express her positive gratitude which the analyser has correctly accounted for. Also the word such as yay and word written in the format ***text ***  should be given special attention because more often then not they express the mood of the speaker.
3,I guess @letterstoshane is cool....follow him!!!,I guess @letterstoshane is <p>cool</p>....follow him!!!,positive,positive,0.998455703,Speaker expresses positive sentiments by using cool which had been correctively identified by the analyser. 
4,"@Antwoinne Hey babe, nothing much tryin to see what imma do at work today lol, look like the load isnt so bad.","@Antwoinne Hey babe, nothing much tryin to see what imma do at work today lol, look like the load isnt so <n>bad</n>.",positive,negative,0.999279022,speaker expresses positive sentiments by expressing the work isn’t so bad. The analyser may have misinterpreted the sentence as negative by identifying bad as a negative word and has failed in accouting that the negative (here isn't) of a negative word (here bad) gives a net positive sentiment (here isn't so bad which implies good).
5,watching gossip girl....10 episodes late.,watching gossip girl....10 episodes late.,neutral,negative,0.997299731,without context it seem unclear what the sentiment of the user is and he is just stating a fact. The analyser might on seeing the word late inferred a negative meaning because often late is used in a sense as being late. So same word is often positive or negative depending upon context in sentence.
6,@poopakoopa I didn't know it could be used as a verb too. I learned it.,@poopakoopa I didn't know it could be used as a verb too. I learned it.,positive,positive,0.732460558,speaker expresses positive sentiment in learning something. Often the word learned expresses positive sentiment therefore leading the analyser to believe the sentence as positive and since it is also kind of neutral positive the score shown is also around 0.73 indicating this ambiguity.
7,famliy  going bck homee and have too taKE sister hores riding <n>oh no</n> gonna be a <n>boring</n> day,famliy  going bck homee and have too taKE sister hores riding <n>oh no</n> gonna be a <n>boring</n> day,negative,negative,0.992501736,speaker expresses negative sentiments by using words such as oh no and boring which the analyser has correctly accounted for.
8, i'm soooo tired i have to study for all of my subjects ..... history is gonna be SO hard!!!! &gt;.&lt; help me!,i'm soooo <n>tired</n> i have to study for all of my subjects ..... history is gonna be SO <n>hard</n>!!!! <n> >.< </n>  help me!,negative,negative,0.999632657,speaker expresses negative sentiment and frustation by words such as tired and hard which the analyser has correctly accounted for . Another interesting observation is that the speaker has expressed frustation by using the emoji  >.<  in text format. Such emojis often easily convey the sentiment of the speaker. 
9,@Judy_RN Thanks for the followfriday recommendation!,@Judy_RN <p>Thanks</p> for the followfriday recommendation!,positive,positive,0.996618986,Speaker expresses positive gratitude by the word thanks which the analyser has correctly accounted for.
10,my night is full of cute statements,my night is full of <p>cute</p>  statements,positive,positive,0.999612033,Speaker expresses positive  sentiments by the word cute which the analyser has correctly accounted for.
11,is en-route to emirates for capital fm's summertime ball  even if it is rainy it's allll good ponchos at the ready!! Woop woop  xx,is en-route to emirates for capital fm's summertime ball  even if it is rainy it's allll <p>good</p> ponchos at the ready!! <p>Woop</p> <p>woop</p>  xx,positive,positive,0.996933758,Speaker expresses positive sentiments by using goog  and the word woop woop to express her positive gratitude which the analyser has correctly accounted for. 
12,asks whats on tap for you today? I have an artisan friend coming over so I can get her online!  http://plurk.com/p/11edct,asks whats on tap for you today? I have an artisan friend coming over so I can get her online!  http://plurk.com/p/11edct,positive,negative,0.76551646,From the context it seems as if the speaker is excited about her artisian friend coming over. Situations such as a friend coming over and an ! often indicates a positive sentiment. The analyser falis in infering sentiment based from context of sentence.
13,I just relized; Owl City's music warms my heart.,I just relized; Owl City's music  <p>warms my heart</p>.,positive,positive,0.999850273,speaker expresses positive sentiment by using the phrase warms my heart which the analyser has correctly accounted for.
14,http://twitpic.com/6cwst - Session of photoss!!,http://twitpic.com/6cwst - Session of photoss!!,positive,negative,0.994697928,From the words alone there is no positive indication might be the reason the analyser infers it as a negative sentence. The sentence itself is neutral but the many exclamation marks after the word photos makes it a positive sentence as it expresses the speaker's excitement. An important observation here is that punctutuion such as exclamation marks often contribute in conveying the sentiment of a sentence.
15,@kaaathryn  - is the actually song out of that yet or is it still just the demo?,@kaaathryn  - is the actually song out of that yet or is it still just the demo?,neutral,negative,0.998755634,Speaker expresses a query which is a neutral sentiment. The lack of positive word might have led the analyser to believe that the sentence is negative.
16,@half_korean I KNOW!! i was rooting for a happy ending,@half_korean I KNOW!! i was rooting for a <p>happy</p> ending,negative,positive,0.993135452,speaker expresses negative frustation as something happened against his expectations which is only from context understood and even if positive word happy is present the sentence isnt neccesarily positive.
17,"French exam over, hopefully went well, lunch al fresco by the River Clyde, finally home but flat empty and Firefox is f*cked  Spanish next","French exam over, hopefully went <p>well</p>, lunch al fresco by the River Clyde, finally home but flat empty and Firefox is <n>f*cked</n>  Spanish next",negative,negative,0.993799031,speaker expresses negative frustation which the analyser has correctly accounted for.
18,@thistlechick YAY!  Have fun!,@thistlechick <p>YAY</p>!  Have <p>fun</p>!,positive,positive,0.999411047,Speaker expresses positive excitement by using the word fun and yay which the analyser has correctly accounted for.
19,eldest gets drink from fridge and drops olives all over the floor. oil everywhere - ages to clean up and stop slippage  #fb,eldest gets drink from fridge and drops olives all over the floor. oil everywhere - ages to clean up and stop slippage  #fb,negative,negative,0.988936007,speaker expresses negative frustation about the situation. The phrase ages to clean up often expresses a negative situation sentiment which the analyser has accounted for.
20,Another crappy day outside,Another <n>crappy</n> day outside,negative,negative,0.999389112,speaker expresses negative frustation which the analyser has correctly accounted for.
21,@RosalieHalegirl I can see Dm's but not reply,@RosalieHalegirl I can see Dm's but not reply,negative,negative,0.992436647,speaker expresses the inability to do something which is a negative situation and the analyser has correctly accounted for. 
22,"@asolomon15 yes, but to do the same thing with cURL it's like 4 times as long. I was thinking cURL was the only way to get http headers","@asolomon15 yes, but to do the same thing with cURL it's like 4 times as long. I was thinking cURL was the only way to get http headers",neutral,negative,0.999226749,its unclear from the context itself whether the sentiment is positive or negative as she stating is a fact. Here the analyser might have recognised the phrase twice as long as a negative situation but she is just stating a fact that a process takes long. Its does not essentialy convey that the speaker feels negative emotions.
23,"@anaperiodista still its fun to go out there. im jealous, you were at Wrigley field though., i might have to go out there this summer","@anaperiodista still its <p>fun</p> to go out there. im jealous, you were at Wrigley field though., i might have to go out there this summer",positive,positive,0.98004657,speaker expresses positive sentiments regarding a place and whishes she could visit the place. Words such as fun has helped the analyser understand the positive sentiment of the sentence.  
24,several times today gmail's auto complete has failed me,several times today gmail's auto complete has <n>failed</n> me,negative,negative,0.999795198,speaker expresses negative frustation which the analyser has correctly accounted for by negative situation words such as failed.
25,@zappos  i love wedged heels - might i get a category to search by?,@zappos  i <p>love</p> wedged heels - might i get a category to search by?,positive,negative,0.993682265,speaker expresses positive response to a product and wants to know more regarding the product. Words such as love indicate the positive sentiment of the sentence which the analyser has failed to account for.
26,The kids are running me ragged  hard work today. MrsB is off having a lovely time.,The kids are running me <n>ragged</n>  <n>hard</n> work today. MrsB is off having a <p>lovely</p> time.,negative,positive,0.997609675,speaker expresses negative sentiments of looking after kids while another person is having a lovely time. The analyser interprets the word lovely as positive but it fails in understanding that another peron and not the speaker is having a lovely time from the context. Analyser should focus on adjective realted to the speaker such as ragged and hard as negative sentiments instead focusing on the positive sentiment lovely which in regards with another person and not the speaker.
27,@ImanJaunte  hey thanks for following me,@ImanJaunte  hey <p>thanks</p> for following me,positive,positive,0.996816933,Speaker expresses positive gratitude by the word thanks which the analyser has correctly accounted for.
28,@kylieireland aww darl sounds like u could use a hug  ***HUGS!!***,@kylieireland <p>aww</p> <p>darl</p> sounds like u could use a hug  ***<p>HUGS</p>!!***,positive,positive,0.941209793,"speaker expresses positive support by using the word aww, darl and hugs which the analyser has correctly accounted for."
29,Getting intoxicated tonight with some friends  Really excitedddd.,Getting intoxicated tonight with some <p>friends</p>  Really <p>excitedddd</p>.,positive,positive,0.995257378,speaker expresses positive excitement by using the word excitedddd which the analyser has accounted for.
30,Kevin called me a twitterbug.,Kevin called me a <n>twitterbug</n>.,negative,negative,0.969386578,speaker exprreses negative sentiment by feeling offended in being called a twitterbug which is often used as a negative attribute and has been correctly accounted for by the analyser. An important observation is that the analyser should be kept updated with the ever- evolving modern slang and cultural references.
31,I'm write a song about you and then make a beat to ya words then later we can turn it into a hit. .lett me stoppp,I'm write a song about you and then make a beat to ya words then later we can turn it into a <p>hit</p>. .lett me stoppp,positive,negative,0.987176299,speaker expresses positive excitement in making a hit song. Here the word hit has been used in a positive sense but it seems like the analyser might have interpretted the negative meaning of hit. An important observation is that often the same word might express different sentiments based on the context of its usage in the sentence.
32,It's hot &amp; i can't sleep,It's hot &amp; i can't sleep,negative,positive,0.995702446,speaker expresses negative frustation at a negative situtuation. Analyser might have interpreted a lack of negative words as a positive sentence and has failed infernece from  context that a hot condition often implies an unpleaseant sleep which is a negative situation.
33,Right. Back to the grindstone. At least I have some good tunes to code to. Hangar 18 by Megadeth at the moment.,<p>Right</p>. Back to the grindstone. At least I have some <p>good</p> tunes to code to. Hangar 18 by Megadeth at the moment.,positive,positive,0.996890604,speaker expresses positive sentiments by finding something positive in a negative situation by using positive words such as right and good which the analyser has correctly accounted for.
34,Suprisingly feeling great!! Still studying..will head to the shops soon to get some groceries and make some dinner,Suprisingly feeling <p>great</p>!! Still studying..will head to the shops soon to get some groceries and make some dinner,positive,positive,0.999188304,Speaker expresses positive  sentiments by the word great which the analyser has correctly accounted for.
35,Comic shop didn't have Batman and Robin #1 though,Comic shop didn't have Batman and Robin #1 though,negative,negative,0.980646431,Speaker expesses negative dissapointment and the words didn’t have though expresses a negative situation that the analyser has correctly accounted for.
36,@mariadelpilar. Watching the trailer for the 3rd time today.,@mariadelpilar. Watching the trailer for the 3rd time today.,neutral,negative,0.850157142,speaker expresses a fact and it seems unclear what the sentiment is without context. A lack of positive words and situations like doing something a third time might have led the analyser to believe that the sentence is negative. The situations of usage of soing something a thirs time is often expresses in a negative context but in some context like in this example it expresses neutral sentiment as he is just watching something for a third time.
37,"I'm starting my class today, but I'm also going to the high school afterwards to do some much needed practicing on a marimba","I'm starting my class today, but I'm also going to the high school afterwards to do some much needed practicing on a marimba",neutral,negative,0.534229338,speaker just express a neuteal fact that is the speaker's schedule and lacks any sentiment as such. The phrase much needed which is often used in negative context might have left the anlyser to believe that the sentence in negative.
38,@JordanShawMusic i had a late dinner too!! its 4:05am here now though :L and i cant sleep &gt;.&lt; whats the time where you are?,@JordanShawMusic i had a late dinner too!! its 4:05am here now though :L and i cant sleep <n> >.< </n>  whats the time where you are?,neutral,negative,0.977701128,speaker expresses a neutral fact that is what the speaker had been and is currently doing. Its unclear without context that the lack of sleep is because of a positive or negative situation and just seems like the speaker is just giving information about the lack of sleep.  The analyser might have interpreted negative words such as late and lack of positive words as a negative sentiment.
39,@mskathy @algonquinrt @siouxchef It's her first &amp; she's only been 18 for 2 weeks. She needs her big sister  The BF doesn't want any one in,@mskathy @algonquinrt @siouxchef It's her first & she's only been 18 for 2 weeks. She needs her big sister  The BF doesn't want any one in,negative,negative,0.990103006,speaker expresses discontent at a situation and negative words such as don’t want has been correctly analysed as negative by the analyser.
40,"@AbbeyMatibag Please, bring your mac on Steph's bash  @burgermeetworld are you going?","@AbbeyMatibag Please, bring your mac on Steph's bash  @burgermeetworld are you going?",neutral,positive,0.864818037,speaker expresses neutral sentiments by making a query and request. A lack of negative words might have led the analyser in believing that the sentence is positive.
41,@Pink yeah pink I love u too and I am a cat !!! Love your work  Meoooooooow,@Pink yeah pink I <p>love</p> u too and I am a cat !!! <p>Love</p> your work  Meoooooooow,positive,positive,0.999807775,speaker expresses positive response with words such as love which has helped the analyser in interpreting the positive sentiment of the sentence.
42,Thank you to @sandieb321 for all the support and help before and during the MW!  x,<p>Thank</p> you to @sandieb321 for all the support and help before and during the MW!  x,positive,positive,0.999456704,Speaker expresses positive gratitude by the word thanks which the analyser has correctly accounted for.
43,@BNJMN32 i know it is.  poor chippy!,@BNJMN32 i know it is.  <n>poor</n> chippy!,negative,negative,0.999625683,speaker expresses sympathy and feels sorry for a negative situation. Word such as poor has led the analyser in correctly analysing the negative sentiment of the sentence.
44,"@stencilboy definately mate, I'm at the Coopers on Saturday at 2pm if interested. Its to sort a footy team but your more than welcome","@stencilboy definately mate, I'm at the Coopers on Saturday at 2pm if <p>interested</p>. Its to sort a footy team but your more than <p>welcome</p>",positive,positive,0.997437835,Speaker expresses positive  sentiments by the word welcome and interested which the analyser has correctly accounted for.
45,"im sick, cause i got soaked in the rain while riding my bike yester day ughhh, and its a shit day  u?","im <n>sick</n>, cause i got soaked in the rain while riding my bike yester day <n>ughhh</n>, and its a <n>shit</n> day  u?",negative,negative,0.998556852,speaker expresses negative frustation by using ughh and negative situation words which has been correcty accounted fo by the analyser. An important observation is that the analyser must account for various versions of saying or spelling the word ughh which often
46,@mileycyrus i would love to see you 2 perform together!,@mileycyrus i would <p>love</p> to see you 2 perform together!,positive,positive,0.999718308,
47,ughh i sooo sleepy.. bck 2 work i go,<n>ughh</n> i sooo sleepy.. bck 2 work i go,negative,negative,0.998910069,speaker expresses negative frustation by using ughh and back to work and sleepy which the analyser has been correcty accounted for. An important observation is that the analyser must account for various versions of saying or spelling the word ughh which often expresses negative frustation.
48,@davebost more weather heading your way-,@davebost more weather heading your way-,negative,negative,0.824047387,speaker expresses a negative situation of bad weather and the analyser has correctly interpreted more weather heading your way as a phrase indicating upcoming bad weather situations.
49,@shiftworldwide Happy Birthday to you! Its the new 30!!,@shiftworldwide <p>Happy</p> Birthday to you! Its the new 30!!,positive,positive,0.999696076,Speaker expresses positive  sentiments by the word happy which the analyser has correctly accounted for.
50,Aww its my Nanas song,<p>Aww</p> its my Nanas song,positive,negative,0.975275636,speaker expresses positive sentiments of nostalgia which the analyses has failed to correctly interpret probably dud to the lack of positive word and also hasent accounted the various spelling versions of aww which is often used in a postive sense. Also analyser fail to interpret meaning from context of the sentence.